time,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,solenoid_6_state,solenoid_4_state,doublesolenoid_2-7_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,doublesolenoid_3-0_state,doublesolenoid_5-1_state,
1,0.125,11.8,0.0,101624,0.125,11.8,0.0,0,0.0,11.75,0.0,105785,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
37,0.125,11.75,0.3,101624,0.125,11.8,0.0,0,0.0,11.75,0.3,105785,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
54,1.25,11.75,0.3,101624,0.125,11.8,0.0,0,0.5,11.75,0.3,105785,0.5,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
74,3.125,11.75,0.3,101624,1.375,11.8,0.0,0,1.875,11.75,0.3,105785,2.75,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
91,3.125,11.75,0.3,101624,1.375,11.8,0.0,0,2.375,11.75,0.3,105785,2.75,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
110,3.375,11.75,0.3,101624,1.75,11.8,0.0,0,2.375,11.75,0.3,105785,3.125,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
130,3.5,11.75,0.3,101624,2.125,11.55,0.0,0,2.375,11.75,0.3,105785,3.625,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
150,3.75,11.75,0.3,101624,3.375,11.55,0.0,0,2.75,10.9,0.3,105855,4.25,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kReverse,
171,5.0,11.75,0.3,101624,4.625,11.55,0.0,0,3.5,10.9,0.3,105855,5.625,11.8,0.0,0,false,false,kOff,0.0,10.9,0.0,-3879,0.0,11.05,0.0,0,kReverse,kReverse,
192,6.625,11.75,0.3,101727,5.875,11.55,0.0,0,3.75,10.9,0.3,105855,7.25,10.9,0.0,0,false,false,kOff,0.0,10.9,0.0,-3879,0.0,11.05,0.0,0,kReverse,kReverse,
