time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
15,12.200000000000001,0.0,0.0,0.0,0.125,12.1,650.0,-39,0.0,0.125,12.1,0.0,0,0.0,0.0,12.1,650.0,-127,0.0,0.125,12.1,0.0,0,0.0,false,false,kOff,0.0,12.05,0.0,0,0.0,0.0,12.15,0.0,-630,0.0,kReverse,kReverse,
56,10.350000000000001,0.0,0.0,0.0,10.125,12.1,650.0,-39,0.0,11.25,12.1,0.0,0,0.0,10.75,9.75,650.0,-81,46.0,11.875,9.600000000000001,0.0,0,0.0,false,false,kOff,0.0,9.95,0.0,0,0.0,0.0,10.05,0.0,-630,0.0,kReverse,kReverse,
114,9.75,72.75,727.5,28.735,19.0,9.850000000000001,650.0,-32,7.0,20.25,12.1,0.0,0,0.0,13.25,9.75,650.0,-81,46.0,18.0,9.600000000000001,0.0,0,0.0,false,false,kOff,0.0,9.95,0.0,0,0.0,0.0,10.05,0.0,-630,0.0,kReverse,kReverse,
152,10.350000000000001,72.75,734.75,57.5825,16.375,9.850000000000001,650.0,-32,7.0,17.875,12.1,0.0,0,0.0,11.625,9.75,650.0,-81,46.0,15.5,9.600000000000001,0.0,0,0.0,false,false,kOff,0.0,9.95,0.0,0,0.0,0.0,10.05,0.0,-630,0.0,kReverse,kReverse,
192,10.4,68.375,711.0,86.0925,14.125,9.850000000000001,650.0,-32,7.0,15.125,9.95,0.0,0,0.0,9.25,9.75,650.0,-81,46.0,12.125,9.600000000000001,0.0,0,0.0,false,false,kOff,0.0,9.95,0.0,0,0.0,0.0,10.05,0.0,-630,0.0,kReverse,kReverse,
233,10.75,50.625,544.125,107.655,11.875,10.350000000000001,650.0,82,88.0,12.625,9.95,0.0,0,0.0,7.875,10.350000000000001,650.0,116,141.0,10.0,10.3,0.0,0,0.0,false,false,kOff,0.0,10.5,0.0,18,9.0,0.0,10.600000000000001,0.0,-630,0.0,kReverse,kReverse,
274,11.15,35.375,394.375,126.68,9.0,10.350000000000001,650.0,82,88.0,9.75,9.95,0.0,0,0.0,6.625,10.350000000000001,650.0,116,141.0,7.875,10.3,0.0,0,0.0,false,false,kOff,0.0,10.5,0.0,18,9.0,0.0,10.600000000000001,0.0,-630,0.0,kReverse,kReverse,
313,11.350000000000001,35.375,406.75,142.845,6.0,10.350000000000001,650.0,82,88.0,6.625,9.95,0.0,0,0.0,4.875,10.350000000000001,650.0,116,141.0,5.5,10.3,0.0,0,0.0,false,false,kOff,0.0,10.5,0.0,18,9.0,0.0,10.600000000000001,0.0,-630,0.0,kReverse,kReverse,
353,11.600000000000001,18.75,217.5,151.525,3.75,10.350000000000001,650.0,82,88.0,4.0,11.3,0.0,0,0.0,3.75,10.350000000000001,650.0,116,141.0,4.0,10.3,0.0,0,0.0,false,false,kOff,0.0,10.5,0.0,18,9.0,0.0,10.600000000000001,0.0,-630,0.0,kReverse,kReverse,
393,11.65,18.75,218.375,160.26,2.375,11.5,650.0,405,220.0,2.375,11.3,0.0,0,0.0,3.375,11.45,650.0,441,211.0,3.625,11.5,0.0,0,0.0,false,false,kOff,0.0,11.5,0.0,22,1.0,0.0,11.600000000000001,0.0,-630,0.0,kReverse,kReverse,
432,11.7,12.5,146.25,166.11,1.625,11.5,650.0,405,220.0,1.625,11.3,0.0,0,0.0,3.375,11.45,650.0,441,211.0,3.125,11.5,0.0,0,0.0,false,false,kOff,0.0,11.5,0.0,22,1.0,0.0,11.600000000000001,0.0,-630,0.0,kReverse,kReverse,
473,11.75,9.875,116.0,171.35500000000002,1.5,11.5,650.0,405,220.0,1.375,11.3,0.0,0,0.0,2.625,11.45,650.0,441,211.0,2.125,11.5,0.0,0,0.0,false,false,kOff,0.0,11.5,0.0,22,1.0,0.0,11.600000000000001,0.0,-630,0.0,kReverse,kReverse,
500,11.7,9.875,115.5,173.66500000000002,1.5,11.5,650.0,405,220.0,1.5,11.600000000000001,0.0,0,0.0,2.375,11.45,650.0,441,211.0,2.125,11.5,0.0,0,0.0,false,false,kOff,0.0,11.5,0.0,22,1.0,0.0,11.600000000000001,0.0,-630,0.0,kReverse,kReverse,
534,11.75,10.5,123.375,178.4525,1.875,11.5,650.0,405,220.0,1.625,11.600000000000001,0.0,0,0.0,2.375,11.45,650.0,441,211.0,1.875,11.5,0.0,0,0.0,false,false,kOff,0.0,11.5,0.0,22,0.0,0.0,11.600000000000001,0.0,-630,0.0,kReverse,kReverse,
573,11.8,10.5,123.875,183.4075,2.0,11.600000000000001,650.0,750,215.0,1.625,11.600000000000001,0.0,0,0.0,2.375,11.55,650.0,794,221.0,1.875,11.55,0.0,0,0.0,false,false,kOff,0.0,11.55,0.0,22,0.0,0.0,11.65,0.0,-630,0.0,kReverse,kReverse,
600,11.8,10.125,118.875,185.78500000000003,2.0,11.600000000000001,650.0,750,215.0,1.625,11.600000000000001,0.0,0,0.0,2.125,11.55,650.0,794,221.0,1.625,11.55,0.0,0,0.0,false,false,kOff,0.0,11.55,0.0,22,0.0,0.0,11.65,0.0,-630,0.0,kReverse,kReverse,
633,11.8,10.125,119.375,190.56,1.875,11.600000000000001,650.0,750,215.0,1.625,11.600000000000001,0.0,0,0.0,1.875,11.55,650.0,794,221.0,1.375,11.55,0.0,0,0.0,false,false,kOff,0.0,11.55,0.0,22,0.0,0.0,11.65,0.0,-630,0.0,kReverse,kReverse,
672,11.75,9.625,113.0,195.09,2.0,11.600000000000001,650.0,750,215.0,1.625,11.600000000000001,0.0,0,0.0,1.875,11.55,650.0,794,221.0,1.375,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.55,0.0,22,0.0,0.0,11.7,0.0,-630,0.0,kReverse,kReverse,
