time,voltage,current,power,energy,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_4_velocity,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_5_velocity,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_2_velocity,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,talon_3_velocity,solenoid_2_state,solenoid_3_state,doublesolenoid_0-1_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_1_velocity,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,talon_6_velocity,doublesolenoid_6-7_state,doublesolenoid_4-5_state,
93,11.95,0.0,0.0,7241.4575,0.25,11.9,6.09375,7404,0.0,0.125,11.850000000000001,0.0,0,0.0,0.0,11.850000000000001,6.09375,10502,0.0,0.125,11.9,0.0,0,0.0,false,false,kOff,0.0,11.850000000000001,0.0,1332,0.0,0.125,11.9,0.0,-1223,0.0,kOff,kOff,
143,12.0,0.0,0.0,7241.4575,0.25,11.9,6.09375,7404,0.0,0.125,11.9,0.0,0,0.0,0.125,11.850000000000001,6.09375,10502,0.0,0.125,11.9,0.0,0,0.0,false,false,kOff,0.0,11.850000000000001,0.0,1332,0.0,0.125,11.9,0.0,-1223,0.0,kReverse,kOff,
178,12.0,0.0,0.0,7241.4575,0.25,11.850000000000001,6.09375,7404,0.0,0.125,11.9,0.0,0,0.0,0.125,11.850000000000001,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.75,0.0,1332,0.0,0.125,11.9,0.0,-1223,0.0,kReverse,kOff,
217,11.9,0.0,0.0,7241.4575,0.25,11.850000000000001,6.09375,7404,0.0,0.125,11.9,0.0,0,0.0,0.0,11.850000000000001,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.75,0.0,1332,0.0,0.125,11.9,0.0,-1223,0.0,kReverse,kOff,
257,11.9,0.0,0.0,7241.4575,0.25,11.850000000000001,6.09375,7404,0.0,0.125,11.9,0.0,0,0.0,0.0,11.850000000000001,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.75,0.0,1332,0.0,0.125,11.9,0.0,-1223,0.0,kReverse,kOff,
297,11.95,0.0,0.0,7241.4575,0.25,11.850000000000001,6.09375,7404,0.0,0.125,11.850000000000001,0.0,0,0.0,0.0,11.850000000000001,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.75,0.0,1332,0.0,0.0,11.9,0.0,-1223,0.0,kReverse,kOff,
337,11.95,0.0,0.0,7241.4575,0.25,11.8,6.09375,7404,0.0,0.125,11.850000000000001,0.0,0,0.0,0.0,11.75,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.75,0.0,1332,0.0,0.125,11.850000000000001,0.0,-1223,0.0,kReverse,kOff,
378,11.9,0.0,0.0,7241.4575,0.25,11.8,6.09375,7404,0.0,0.125,11.850000000000001,0.0,0,0.0,0.125,11.75,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.75,0.0,1332,0.0,0.125,11.850000000000001,0.0,-1223,0.0,kReverse,kOff,
420,11.850000000000001,0.0,0.0,7241.4575,0.25,11.8,6.09375,7404,0.0,0.125,11.850000000000001,0.0,0,0.0,0.0,11.75,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.75,0.0,1332,0.0,0.125,11.850000000000001,0.0,-1223,0.0,kReverse,kOff,
466,11.850000000000001,0.0,0.0,7241.4575,0.25,11.8,6.09375,7404,0.0,0.125,11.8,0.0,0,0.0,0.0,11.75,6.09375,10502,0.0,0.125,11.850000000000001,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.8,0.0,-1223,0.0,kReverse,kOff,
538,11.9,0.0,0.0,7241.4575,0.25,11.75,6.09375,7404,0.0,0.125,11.8,0.0,0,0.0,0.0,11.75,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.8,0.0,-1223,0.0,kReverse,kOff,
578,11.9,0.0,0.0,7241.4575,0.25,11.75,6.09375,7404,0.0,0.125,11.8,0.0,0,0.0,0.0,11.75,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.8,0.0,-1223,0.0,kReverse,kOff,
617,11.850000000000001,0.0,0.0,7241.4575,0.25,11.75,6.09375,7404,0.0,0.125,11.75,0.0,0,0.0,0.125,11.75,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.8,0.0,-1223,0.0,kReverse,kOff,
659,11.75,0.0,0.0,7241.4575,0.25,11.75,6.09375,7404,0.0,0.125,11.75,0.0,0,0.0,0.0,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.75,0.0,-1223,0.0,kReverse,kOff,
697,11.8,0.0,0.0,7241.4575,0.25,11.75,6.09375,7404,0.0,0.125,11.75,0.0,0,0.0,0.0,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.75,0.0,-1223,0.0,kReverse,kOff,
737,11.8,0.0,0.0,7241.4575,0.25,11.75,6.09375,7404,0.0,0.125,11.75,0.0,0,0.0,0.0,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.75,0.0,-1223,0.0,kReverse,kOff,
777,11.8,0.0,0.0,7241.4575,0.25,11.75,6.09375,7404,0.0,0.125,11.75,0.0,0,0.0,0.125,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.7,0.0,1332,0.0,0.125,11.75,0.0,-1223,0.0,kReverse,kOff,
818,11.850000000000001,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.75,0.0,0,0.0,0.0,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.65,0.0,1332,0.0,0.125,11.75,0.0,-1223,0.0,kReverse,kOff,
857,11.8,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.75,0.0,0,0.0,0.0,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.65,0.0,1332,0.0,0.125,11.75,0.0,-1223,0.0,kReverse,kOff,
897,11.75,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.65,0.0,1332,0.0,0.125,11.75,0.0,-1223,0.0,kReverse,kOff,
958,11.75,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.7,6.09375,10502,0.0,0.125,11.75,0.0,0,0.0,false,false,kOff,0.0,11.65,0.0,1332,0.0,0.0,11.75,0.0,-1223,0.0,kReverse,kOff,
998,11.75,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.125,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.0,11.7,0.0,-1223,0.0,kReverse,kOff,
1038,11.75,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.0,11.7,0.0,-1223,0.0,kReverse,kOff,
1077,11.8,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.125,11.7,0.0,-1223,0.0,kReverse,kOff,
1117,11.8,0.0,0.0,7241.4575,0.25,11.7,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.0,11.7,0.0,-1223,0.0,kReverse,kOff,
1145,11.8,0.0,0.0,7241.4575,0.25,11.65,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.125,11.7,0.0,-1223,0.0,kReverse,kOff,
1179,11.75,0.0,0.0,7241.4575,0.25,11.65,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.125,11.7,0.0,-1223,0.0,kReverse,kOff,
1216,11.7,0.0,0.0,7241.4575,0.25,11.65,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.0,11.7,0.0,-1223,0.0,kReverse,kOff,
1258,11.7,0.0,0.0,7241.4575,0.25,11.65,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.65,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.0,11.7,0.0,-1223,0.0,kReverse,kOff,
1297,11.75,0.0,0.0,7241.4575,0.25,11.65,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.125,11.600000000000001,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.0,11.7,0.0,-1223,0.0,kReverse,kOff,
1336,11.75,0.0,0.0,7241.4575,0.25,11.65,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.125,11.600000000000001,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.125,11.7,0.0,-1223,0.0,kReverse,kOff,
1376,11.8,0.0,0.0,7241.4575,0.25,11.65,6.09375,7404,0.0,0.125,11.7,0.0,0,0.0,0.0,11.600000000000001,6.09375,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.0,11.7,0.0,-1223,0.0,kReverse,kOff,
1417,11.8,0.0,0.0,7241.4575,0.25,11.65,79.79453712701797,7404,0.0,0.125,11.65,0.0,0,0.0,0.0,11.600000000000001,-67.60703712701797,10502,0.0,0.125,11.7,0.0,0,0.0,false,false,kOff,0.0,11.600000000000001,0.0,1332,0.0,0.125,11.7,0.0,-1223,0.0,kReverse,kOff,
1457,11.7,0.0,0.0,7241.4575,0.375,11.600000000000001,393.0228853225708,7404,0.0,0.125,11.65,0.0,0,0.0,0.25,11.55,-380.83538532257074,10502,0.0,0.25,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.55,0.0,1332,0.0,0.0,11.65,0.0,-1223,0.0,kReverse,kOff,
1497,10.8,0.0,0.0,7241.4575,3.375,11.600000000000001,743.1016445159911,7404,0.0,2.25,11.65,0.0,0,0.0,3.125,11.55,-730.9141445159912,10502,0.0,3.75,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.55,0.0,1332,0.0,0.0,11.65,0.0,-1223,0.0,kReverse,kOff,
1538,8.75,15.375,133.75,7247.4825,10.75,11.600000000000001,786.0937499999999,7404,0.0,7.75,11.65,0.0,0,0.0,11.75,11.55,-773.90625,10502,0.0,13.875,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,11.55,0.0,1332,0.0,0.0,11.65,0.0,-1223,0.0,kReverse,kOff,
1597,8.0,78.25,626.0,7274.9,20.375,11.600000000000001,786.0937499999999,7404,0.0,21.0,8.350000000000001,0.0,0,0.0,13.625,11.55,-773.90625,10386,-92.0,20.375,11.600000000000001,0.0,0,0.0,false,false,kOff,0.0,8.05,0.0,1332,0.0,0.0,8.15,0.0,-1223,0.0,kReverse,kOff,
