time,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,solenoid_6_state,solenoid_4_state,doublesolenoid_2-7_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,doublesolenoid_3-0_state,doublesolenoid_5-1_state,
22,0.125,12.25,0.00390625,101643,0.125,11.75,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kOff,kOff,
62,0.125,11.8,0.00390625,101643,0.125,11.75,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
81,0.125,11.8,0.00390625,101643,0.125,11.75,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
100,0.125,11.8,0.00390625,101643,0.125,11.75,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
122,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
141,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
161,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
179,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
200,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
222,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
240,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
260,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
281,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
304,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.75,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
325,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.850000000000001,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
343,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
382,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
401,0.125,11.8,0.00390625,101643,0.125,11.850000000000001,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
442,0.125,11.8,0.00390625,101643,0.125,11.8,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
460,0.125,11.8,0.00390625,101643,0.125,11.8,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
479,0.125,11.8,0.00390625,101643,0.125,11.8,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
501,0.125,11.8,0.00390625,101643,0.125,11.8,0.0,0,0.0,11.75,0.00390625,105896,0.0,11.8,0.0,0,false,false,kOff,0.0,11.7,0.0,-3879,0.0,11.850000000000001,0.0,0,kReverse,kOff,
