time,talon_4_current,talon_4_voltage,talon_4_value,talon_4_position,talon_5_current,talon_5_voltage,talon_5_value,talon_5_position,talon_2_current,talon_2_voltage,talon_2_value,talon_2_position,talon_3_current,talon_3_voltage,talon_3_value,talon_3_position,solenoid_6_state,solenoid_4_state,doublesolenoid_2-7_state,talon_1_current,talon_1_voltage,talon_1_value,talon_1_position,talon_6_current,talon_6_voltage,talon_6_value,talon_6_position,doublesolenoid_3-0_state,doublesolenoid_5-1_state,
1,0.125,12.15,0.00390625,101602,0.125,12.200000000000001,0.0,0,0.0,12.1,0.00390625,105765,0.0,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
18,0.125,12.15,0.3,101602,0.125,12.200000000000001,0.0,0,0.0,12.1,0.3,105765,0.0,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
36,0.125,12.15,0.3,101602,0.125,12.200000000000001,0.0,0,0.5,12.1,0.3,105765,0.0,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
57,2.0,12.1,0.3,101604,1.125,12.200000000000001,0.0,0,1.875,12.1,0.3,105765,0.5,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
76,3.125,12.1,0.3,101604,2.0,12.200000000000001,0.0,0,2.375,12.1,0.3,105765,2.875,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
97,3.375,12.1,0.3,101604,2.25,12.200000000000001,0.0,0,2.375,12.1,0.3,105765,3.25,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
115,3.5,12.1,0.3,101604,2.625,12.200000000000001,0.0,0,2.375,12.1,0.3,105765,3.875,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
135,4.375,12.1,0.3,101604,3.75,11.4,0.0,0,2.75,12.1,0.3,105765,4.625,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
156,5.75,12.1,0.3,101604,5.125,11.4,0.0,0,3.0,11.3,0.3,105839,5.875,12.15,0.0,0,false,false,kOff,0.0,12.1,0.0,-3879,0.0,12.200000000000001,0.0,0,kReverse,kReverse,
176,7.0,12.1,0.3,101604,6.125,11.4,0.0,0,2.875,11.3,0.3,105839,7.625,12.15,0.0,0,false,false,kOff,0.0,11.3,0.0,-3879,0.0,11.4,0.0,0,kReverse,kReverse,
196,6.625,12.1,0.3,101604,5.625,11.4,0.0,0,2.75,11.3,0.3,105839,7.375,11.3,0.0,0,false,false,kOff,0.0,11.3,0.0,-3879,0.0,11.4,0.0,0,kReverse,kReverse,
216,6.25,11.3,0.3,101717,5.375,11.4,0.0,0,2.75,11.3,0.3,105839,6.875,11.3,0.0,0,false,false,kOff,0.0,11.3,0.0,-3879,0.0,11.4,0.0,0,kReverse,kReverse,
